Index,Image,Results,ResultsCu,CuP,ResultsAg,AgP,ResultsPb,PbP,Agree,Comments
1,oddy_autry_153.jpg,P,P,0.60,Tie: P + T,0.00,P,0.60,Don't Use,Contact + No contact sections - NN won't be able to differentiate
2,oddy_cma_1485.jpg,U,Tie: T + U,0.00,U,0.80,U,1.00,Don't Use,Contact Goop - Weird
3,oddy_cma_1486.jpg,U,U,0.80,U,0.60,U,1.00,Yes,
4,oddy_cma_1497.jpg,P,P,1.00,P,1.00,T,0.80,No,
5,oddy_cma_1498.jpg,U,P,0.80,P,0.60,U,1.00,Yes,
6,oddy_cma_1499.jpg,P,P,0.80,P,0.80,T,0.80,No,
7,oddy_cma_1500.jpg,T,P,1.00,P,0.80,T,0.80,Yes,
8,oddy_cma_1501.jpg,P,P,1.00,P,1.00,T,0.80,No,
9,oddy_cma_1502.jpg,T,P,0.80,P,1.00,T,0.80,Yes,
10,oddy_cma_1503.jpg,T,P,0.80,T,0.60,T,0.80,Yes,
11,oddy_cma_1504.jpg,T,T,0.60,T,0.60,T,0.80,Yes,
12,oddy_cma_1505.jpg,U,P,0.60,P,0.80,U,0.80,Yes,
13,oddy_cma_1506.jpg,P,P,0.60,T,0.60,T,0.60,No,
14,oddy_cma_1507.jpg,U,U,0.60,Tie: P + T,0.00,U,1.00,Yes,"Ag Tie: PPTTU, top coupon looks hazey to me, so T "
15,oddy_cma_1508.jpg,U,U,0.60,Tie: P + U,0.00,U,1.00,Yes,"Ag Tie: PPTUU, Some tape on top, potentially yellowed or weird lighting"
16,oddy_cma_1509.jpg,P,P,0.80,P,1.00,T,1.00,No,
17,oddy_cma_1510.jpg,U,U,0.60,T,0.60,T,0.60,Yes,
18,oddy_cma_1511.jpg,T,T,0.60,P,0.80,T,0.80,Yes,
19,oddy_cma_1512.jpg,T,T,0.80,P,0.80,T,1.00,Yes,
20,oddy_cma_1530.jpg,P,P,1.00,P,1.00,P,1.00,Yes,
21,oddy_cma_1536.jpg,P,P,1.00,P,1.00,P,0.60,Yes,Some T's for lead - almost black spots?
22,oddy_cma_1537.jpg,P,P,1.00,P,1.00,P,0.60,Yes,Some T's for lead
23,oddy_cma_1538.jpg,P,P,1.00,P,1.00,P,0.60,Yes,Some T's for lead
24,oddy_cma_1539.jpg,P,P,1.00,P,1.00,P,0.60,Yes,Some T's for lead
25,oddy_cma_1540.jpg,P,P,1.00,P,1.00,P,0.60,Yes,Some T's for lead
26,oddy_cma_1541.jpg,P,P,1.00,P,1.00,P,0.60,Yes,Some T's for lead
27,oddy_cma_1545.jpg,U,T,0.60,P,1.00,T,0.80,No,Comment: Doesn't look like a U to them
28,oddy_cma_1546.jpg,U,U,0.80,P,1.00,T,0.80,Yes,
29,oddy_cma_1547.jpg,P,P,1.00,P,1.00,P,0.80,Yes,
30,oddy_cma_1548.jpg,T,T,0.60,T,0.80,T,0.60,Yes,Cu and Pb are borderline P/T
31,oddy_cma_1550.jpg,U,U,0.60,U,0.60,Tie: T + U,0.00,Yes,"Pb Tie: PTTUU, looks like rainbow tarnish or a bit of orange corrosion, I'd choose T"
32,oddy_cma_1552.jpg,U,T,0.40,T,0.60,U,0.80,Yes,"Relatively undecided about Copper, the bottom ones looks red - T"
33,oddy_cma_1554.jpg,U,Tie: P + T,0.00,T,0.60,T,0.60,Yes,"Cu Tie: PPTTU, looks like the above, I'm leaning towards T"
34,oddy_cma_1555.jpg,T,T,1.00,T,0.67,T,1.00,Yes,
35,oddy_cma_1560.jpg,U,NA,0.33,NA,0.33,U,0.67,,
36,oddy_cma_1561.jpg,P,T,0.67,P,0.67,T,0.67,,
37,oddy_cma_1562.jpg,U,T,0.67,NA,0.33,U,0.67,,
38,oddy_cma_1563.jpg,T,T,0.67,P,0.67,T,0.67,,
39,oddy_cma_1564.jpg,U,NA,0.33,NA,0.33,U,0.67,,
40,oddy_cma_1565.jpg,U,T,1.00,NA,0.33,U,0.67,,
41,oddy_cma_1566.jpg,U,T,1.00,T,0.67,T,0.67,,
42,oddy_cma_1567.jpg,U,T,1.00,T,0.67,U,0.67,,
43,oddy_cma_1568.jpg,T,T,1.00,T,0.67,T,0.67,,
44,oddy_cma_1571.jpg,T,T,1.00,T,1.00,T,0.67,,
45,oddy_cma_1572.jpg,U,T,1.00,T,0.67,T,0.67,,
46,oddy_cma_1573.jpg,T,T,1.00,NA,0.33,T,0.67,,
47,oddy_cma_1576.jpg,U,T,0.67,U,1.00,T,1.00,,
48,oddy_cma_1577.jpg,U,T,0.67,NA,0.33,T,1.00,,
49,oddy_cma_1579.jpg,P,P,1.00,P,0.67,,1.00,,
50,oddy_cma_1582.jpg,U,T,0.67,U,0.67,,1.00,,
51,oddy_cma_1583.jpg,U,P,0.67,P,0.67,,1.00,,
52,oddy_cma_1586.jpg,P,P,0.67,P,0.67,T,0.67,,
53,oddy_cma_1587.jpg,U,U,0.67,U,0.67,U,0.67,,
54,oddy_cma_1589.jpg,U,T,1.00,U,1.00,U,0.67,,
55,oddy_cma_1592.jpg,P,P,0.67,P,0.67,,1.00,,
56,oddy_cma_1593.jpg,P,P,1.00,P,0.67,,1.00,,
57,oddy_cma_1594.jpg,P,P,1.00,P,0.67,,1.00,,
58,oddy_cma_1596.jpg,U,NA,0.33,NA,0.33,,1.00,,
59,oddy_cma_1597.jpg,U,P,0.67,P,0.67,,1.00,,
60,oddy_cma_1598.jpg,U,P,0.67,P,0.67,,1.00,,
61,oddy_cma_1600.jpg,U,T,0.67,P,0.67,,1.00,,
62,oddy_cma_1601.jpg,P,P,1.00,P,0.67,,1.00,,
63,oddy_cma_1604.jpg,U,U,0.67,U,1.00,T,0.67,,
64,oddy_cma_1605.jpg,U,T,1.00,P,0.67,T,0.67,,
65,oddy_cma_1629.jpg,U,T,1.00,P,0.67,T,1.00,,
66,oddy_cma_1667.jpg,U,U,0.67,U,0.67,T,0.67,,
67,oddy_hcc_1844.jpg,U,U,0.67,P,0.67,U,0.67,,
68,oddy_hcc_1845.jpg,P,U,0.67,P,0.67,U,0.67,,
69,oddy_hcc_1846.jpg,U,U,0.67,P,1.00,U,0.67,,
70,oddy_hcc_1847.jpg,P,U,0.67,P,0.67,U,0.67,,
71,oddy_hcc_1848.jpg,P,NA,0.33,P,1.00,P,1.00,,
72,oddy_hcc_1849.jpg,P,P,0.67,P,0.67,U,0.67,,
73,oddy_hcc_1850.jpg,P,P,0.67,P,1.00,P,1.00,,
74,oddy_hcc_1851.jpg,P,P,0.67,P,1.00,P,1.00,,
75,oddy_hcc_1852.jpg,P,P,0.67,P,0.67,P,1.00,,
76,oddy_hcc_1853.jpg,P,P,1.00,P,1.00,P,1.00,,
77,oddy_hcc_1854.jpg,P,P,0.67,P,0.67,P,0.67,,
78,oddy_hcc_1855.jpg,U,T,1.00,P,1.00,T,0.67,,
79,oddy_hcc_1856.jpg,U,U,1.00,P,1.00,NA,0.33,,
80,oddy_hcc_1857.jpg,P,T,0.67,P,1.00,T,0.67,,
81,oddy_hcc_1858.jpg,P,P,0.67,NA,0.33,T,1.00,,
82,oddy_hcc_1859.jpg,P,P,1.00,P,1.00,T,0.67,,
83,oddy_hcc_1860.jpg,T,U,0.67,P,1.00,U,1.00,,
84,oddy_hcc_1861.jpg,P,P,0.67,P,1.00,U,1.00,,
85,oddy_hcc_1862.jpg,U,U,0.67,P,0.67,T,0.67,,
86,oddy_hcc_1863.jpg,P,T,1.00,P,0.67,T,0.67,,
87,oddy_hcc_1864.jpg,P,P,0.67,P,0.67,P,0.67,,
88,oddy_hcc_1865.jpg,U,U,1.00,P,0.67,U,1.00,,
89,oddy_hcc_1866.jpg,P,P,1.00,P,1.00,P,1.00,,
90,oddy_hcc_1867.jpg,P,T,0.67,P,0.67,NA,0.33,,
91,oddy_hcc_1868.jpg,P,T,1.00,P,0.67,T,0.67,,
92,oddy_hcc_1869.jpg,P,P,0.67,P,0.67,P,0.67,,
93,oddy_hcc_1870.jpg,P,P,0.67,P,0.67,P,1.00,,
94,oddy_hcc_1871.jpg,P,P,1.00,P,1.00,P,1.00,,
95,oddy_hcc_1872.jpg,P,P,1.00,P,1.00,P,0.67,,
96,oddy_hcc_1873.jpg,P,NA,0.33,P,1.00,U,1.00,,
97,oddy_hcc_1874.jpg,U,T,0.67,P,0.67,U,0.67,,
98,oddy_hcc_1875.jpg,U,T,0.67,P,0.67,U,1.00,,
99,oddy_hcc_1876.jpg,U,U,1.00,U,0.67,U,1.00,,
100,oddy_hcc_1877.jpg,P,P,1.00,T,0.67,U,0.67,,
101,oddy_hcc_1878.jpg,P,NA,0.33,P,1.00,NA,0.33,,
102,oddy_hcc_1879.jpg,U,U,1.00,P,0.67,P,1.00,,
103,oddy_hcc_1880.jpg,T,T,0.50,P,0.75,T,0.50,,
104,oddy_hcc_1881.jpg,P,Tie: P + T,0.00,P,0.75,P,0.75,,
105,oddy_hcc_1882.jpg,P,P,1.00,P,1.00,P,1.00,,
106,oddy_hcc_1883.jpg,P,P,1.00,P,1.00,P,1.00,,
107,oddy_hcc_1884.jpg,P,P,0.75,P,1.00,P,1.00,,
108,oddy_hcc_1885.jpg,U,U,0.50,P,0.75,P,0.75,,
109,oddy_hcc_1886.jpg,P,P,0.50,P,0.50,P,0.75,,
110,oddy_hcc_1887.jpg,P,P,1.00,P,1.00,P,0.50,,
111,oddy_hod_1888_1.jpg,U,U,1.00,U,1.00,U,1.00,,
112,oddy_hod_1888_2.jpg,U,NA,0.25,U,0.75,,0.75,,
113,oddy_hod_1889_1.jpg,U,U,1.00,U,1.00,T,0.50,,
114,oddy_hod_1889_2.jpg,U,NA,0.25,U,0.75,,1.00,,
115,oddy_hod_1890_1.jpg,U,U,1.00,U,1.00,U,1.00,,
116,oddy_hod_1890_2.jpg,U,NA,0.25,U,1.00,,0.75,,
117,oddy_hod_1891_1.jpg,T,U,1.00,U,0.50,U,0.75,,
118,oddy_hod_1891_2.jpg,T,NA,0.33,U,0.67,,1.00,,
119,oddy_hod_1891_3.jpg,T,U,0.25,Tie: T + U,0.00,,0.75,,
120,oddy_hod_1892_1.jpg,U,U,0.67,U,0.67,NA,0.33,,
121,oddy_hod_1892_2.jpg,U,NA,0.33,T,0.67,,1.00,,
122,oddy_hod_1893_1.jpg,P,U,0.50,U,0.75,P,0.50,,
123,oddy_hod_1893_2.jpg,P,NA,0.33,U,0.67,,1.00,,
124,oddy_hod_1893_3.jpg,P,U,0.25,P,0.50,,0.75,,
125,oddy_hod_1894_1.jpg,P,T,0.50,U,1.00,U,1.00,,
126,oddy_hod_1894_2.jpg,P,NA,0.33,P,0.67,,1.00,,
127,oddy_hod_1894_3.jpg,P,NA,0.33,P,0.67,,1.00,,
128,oddy_hod_1895_1.jpg,P,U,0.75,U,0.75,T,0.75,,
129,oddy_hod_1895_2.jpg,P,NA,0.33,U,1.00,,1.00,,
130,oddy_hod_1895_3.jpg,P,NA,0.33,P,0.67,,1.00,,
131,oddy_hod_1896_1.jpg,P,U,0.75,U,1.00,U,0.75,,
132,oddy_hod_1896_2.jpg,P,NA,0.33,U,0.67,,1.00,,
133,oddy_hod_1896_3.jpg,P,NA,0.33,P,0.67,,1.00,,
134,oddy_hod_1897_1.jpg,P,U,1.00,U,1.00,U,1.00,,
135,oddy_hod_1897_2.jpg,P,NA,0.33,U,0.67,,1.00,,
136,oddy_hod_1897_3.jpg,P,NA,0.33,P,0.67,,1.00,,
137,oddy_nyul_2537_1.jpg,P,P,1.00,P,1.00,P,1.00,,
138,oddy_nyul_2537_2.jpg,P,P,1.00,P,1.00,P,1.00,,
139,oddy_nyul_2538_1.jpg,T,Tie: P + T,0.00,P,0.75,P,0.75,,
140,oddy_nyul_2538_2.jpg,T,T,1.00,P,0.75,P,0.75,,
141,oddy_nyul_2539_1.jpg,U,P,0.75,P,0.75,U,1.00,,
142,oddy_nyul_2539_2.jpg,U,P,0.75,P,0.75,U,1.00,,
143,oddy_nyul_2540_1.jpg,U,Tie: T + U,0.00,P,0.75,U,1.00,,
144,oddy_nyul_2540_2.jpg,U,T,1.00,P,0.75,U,1.00,,
145,oddy_nyul_2541_1.jpg,U,P,0.75,P,0.75,U,1.00,,
146,oddy_nyul_2541_2.jpg,U,P,0.75,P,0.75,U,1.00,,
147,oddy_nyul_2542_1.jpg,U,P,0.75,P,0.75,U,0.75,,
148,oddy_nyul_2542_2.jpg,U,P,0.75,P,0.75,U,1.00,,
149,oddy_nyul_2543_1.jpg,U,U,0.75,P,0.75,U,0.75,,
150,oddy_nyul_2543_2.jpg,U,U,0.75,P,0.75,U,1.00,,
151,oddy_nyul_2544_1.jpg,U,Tie: T + U,0.00,P,0.75,U,1.00,,
152,oddy_nyul_2544_2.jpg,U,Tie: T + U,0.00,P,0.75,U,1.00,,
153,oddy_nyul_2545_1.jpg,P,P,1.00,P,1.00,P,1.00,,
154,oddy_nyul_2545_2.jpg,P,P,1.00,P,1.00,P,1.00,,
155,oddy_nyul_2546_1.jpg,P,P,1.00,P,1.00,P,1.00,,
156,oddy_nyul_2546_2.jpg,P,P,1.00,P,1.00,P,1.00,,
157,oddy_nyul_2547_1.jpg,P,P,1.00,P,1.00,P,1.00,,
158,oddy_nyul_2547_2.jpg,P,P,1.00,P,1.00,P,1.00,,
159,oddy_nyul_2548_1.jpg,P,P,1.00,P,0.75,P,1.00,,
160,oddy_nyul_2548_2.jpg,P,P,1.00,P,1.00,P,1.00,,
161,oddy_nyul_2549_1.jpg,T,Tie: P + U,0.00,P,0.75,P,0.75,,
162,oddy_nyul_2549_2.jpg,T,Tie: P + U,0.00,P,1.00,P,0.75,,
163,oddy_nyul_2550_1.jpg,T,Tie: P + U,0.00,P,1.00,T,0.75,,
164,oddy_nyul_2550_2.jpg,T,P,1.00,P,1.00,T,1.00,,
165,oddy_nyul_2551_1.jpg,P,T,0.75,P,0.75,P,1.00,,
166,oddy_nyul_2551_2.jpg,P,Tie: P + T,0.00,P,1.00,P,1.00,,
167,oddy_nyul_2552_1.jpg,U,T,1.00,U,1.00,P,0.75,,
168,oddy_nyul_2552_2.jpg,U,T,1.00,Tie: P + T,0.00,P,0.75,,
169,oddy_nyul_2553_1.jpg,P,Tie: P + T,0.00,P,1.00,Tie: P + T,0.00,,
170,oddy_nyul_2553_2.jpg,P,Tie: P + U,0.00,P,1.00,Tie: P + T,0.00,,